iter	RMSE
0	9.191001436
1	9.021621724
2	8.840900191
3	8.689750082
4	8.525685316
5	8.393273136
6	8.242299465
7	8.088296797
8	7.957781453
9	7.807545094
10	7.685703239
11	7.563074296
12	7.431907401
13	7.295519541
14	7.186405779
15	7.061334809
16	6.94615514
17	6.828950751
18	6.71903477
19	6.606941379
20	6.499875391
21	6.413048113
22	6.323607006
23	6.228607956
24	6.139910583
25	6.053414573
26	5.972780971
27	5.891033952
28	5.810127554
29	5.718018637
30	5.63015427
31	5.558987795
32	5.491935935
33	5.423390589
34	5.351323956
35	5.286143938
36	5.220404779
37	5.14875963
38	5.079645312
39	5.000013549
40	4.945985626
41	4.874484811
42	4.82451312
43	4.772035336
44	4.715468779
45	4.663726335
46	4.604337733
47	4.550558845
48	4.510283744
49	4.459503512
50	4.410992955
51	4.373195742
52	4.32606652
53	4.291058687
54	4.239427436
55	4.200579793
56	4.16359006
57	4.120563012
58	4.088552326
59	4.047465944
60	4.007765786
61	3.97023335
62	3.933855698
63	3.894014167
64	3.861927754
65	3.832707034
66	3.793970698
67	3.762808038
68	3.737645357
69	3.706710235
70	3.667168579
71	3.6414014
72	3.609630515
73	3.577149093
74	3.551316431
75	3.525926781
76	3.500501546
77	3.46819535
78	3.446172406
79	3.418484934
80	3.394917471
81	3.374656179
82	3.353008465
83	3.328674388
84	3.307165769
85	3.284978483
86	3.260135481
87	3.233086441
88	3.203391394
89	3.179604015
90	3.157823695
91	3.139470996
92	3.124426609
93	3.107131987
94	3.088274539
95	3.06826226
96	3.054985449
97	3.037039032
98	3.026601721
99	3.014429212
100	2.997697665
101	2.987522371
102	2.968575686
103	2.954887783
104	2.941397664
105	2.928444753
106	2.910696643
107	2.897932968
108	2.880181058
109	2.862301073
110	2.847923101
111	2.837931375
112	2.826065662
113	2.811497975
114	2.791978299
115	2.777904179
116	2.761466639
117	2.749869776
118	2.739604458
119	2.729906129
120	2.71946799
121	2.707829313
122	2.695479219
123	2.679852188
124	2.670462302
125	2.659932459
126	2.651111814
127	2.642026777
128	2.632335343
129	2.622562488
130	2.610302281
131	2.599080507
132	2.59034237
133	2.583003426
134	2.571693102
135	2.55917778
136	2.55052173
137	2.544573441
138	2.537975738
139	2.528040675
140	2.521199421
141	2.513465151
142	2.503295793
143	2.496098104
144	2.486767233
145	2.47914318
146	2.470642664
147	2.460779895
148	2.4529473
149	2.442959021
150	2.435741257
151	2.429028538
152	2.422734577
153	2.414540573
154	2.405503332
155	2.39829396
156	2.389082883
157	2.381222632
158	2.372690018
159	2.367159221
160	2.360027764
161	2.353646787
162	2.350881566
163	2.340092481
164	2.333176501
165	2.326273931
166	2.320439573
167	2.313948762
168	2.306297258
169	2.299930087
170	2.293044419
171	2.286100687
172	2.280931419
173	2.27557317
174	2.271204523
175	2.269751623
176	2.265227745
177	2.257984889
178	2.252655271
179	2.245079104
180	2.238893352
181	2.230987891
182	2.224941132
183	2.217164067
184	2.215319418
185	2.210465291
186	2.203693032
187	2.201033141
188	2.197632853
189	2.19129971
190	2.186920263
191	2.185504428
192	2.183527691
193	2.177809088
194	2.171926523
195	2.163647799
196	2.158845074
197	2.154214778
198	2.149387318
199	2.144391905
200	2.14078673
201	2.138539693
202	2.133773205
203	2.1283721
204	2.12582485
205	2.12048558
206	2.112810448
207	2.109123761
208	2.105272853
209	2.100579481
210	2.093690646
211	2.090960637
212	2.08464574
213	2.080844518
214	2.075960193
215	2.07266569
216	2.068279462
217	2.061147287
218	2.057270898
219	2.052342274
220	2.049129043
221	2.047716247
222	2.046415126
223	2.043805938
224	2.041851001
225	2.036438386
226	2.032155367
227	2.029683997
228	2.02645221
229	2.020260193
230	2.017861386
231	2.013457913
232	2.0120087
233	2.006443459
234	2.004911488
235	2.003200733
236	2.002339912
237	1.995757421
238	1.989180699
239	1.984644452
240	1.979661995
241	1.978386578
242	1.968836147
243	1.962923422
244	1.962072655
245	1.955301733
246	1.953556678
247	1.948359859
248	1.947150392
249	1.937844763
250	1.936688102
251	1.931841732
252	1.926870993
253	1.92272345
254	1.915673975
255	1.913630673
256	1.911746451
257	1.906902874
258	1.901729334
259	1.89858797
260	1.896689374
261	1.894815428
262	1.893742905
263	1.892524821
264	1.89031269
265	1.883679947
266	1.882616498
267	1.878939184
268	1.876394323
269	1.873095666
270	1.865976236
271	1.865142662
272	1.861308152
273	1.85482642
274	1.852326046
275	1.845865213
276	1.84484596
277	1.840241975
278	1.83796437
279	1.832946494
280	1.827960656
281	1.822530874
282	1.817355881
283	1.811800747
284	1.810481168
285	1.806649875
286	1.800992819
287	1.796478634
288	1.791316152
289	1.784082212
290	1.781815971
291	1.779361265
292	1.778295363
293	1.771663123
294	1.77023619
295	1.763854349
296	1.75715327
297	1.755513368
298	1.753912745
